"id";"card_title";"url";"description"
1;"View Catalogue";"/catalogue";"View supplies which are posted in the CriShipped store. At this time, supplies can only be sold by verified distributers. Orders requests are granted on a needs basis. We prioritize health care providers and first responders"
2;"Community Forum";"/forum";"The community forum serves as a way to connect with people in nearby and surrounding communities in order to sell and/or exhange resources. Please see FAQs for rules and expectations"
